Sr no,Country,Area (ha),No of trees,Longitude,Latitude,Google Maps Link
1013,Indonesia,21635,2812550,110.1116988,-1.764378956,"https://www.google.com/maps?q=-1.76437895567282,110.111698833768"
1014,Indonesia,16477,2142010,110.6738505,-1.786843496,"https://www.google.com/maps?q=-1.78684349617326,110.673850491257"
1015,Indonesia,3139,408070,110.4674182,-1.80010649,"https://www.google.com/maps?q=-1.80010648953762,110.467418163179"
1016,Indonesia,37238,4840940,110.7185616,-1.912476121,"https://www.google.com/maps?q=-1.91247612087028,110.718561637999"
1017,Indonesia,17269,2244970,110.1828883,-1.961084003,"https://www.google.com/maps?q=-1.96108400257408,110.1828882786"
1018,Indonesia,13388,1740440,110.293403,-1.969789539,"https://www.google.com/maps?q=-1.96978953929634,110.293403007019"
1019,Indonesia,17749,2307370,110.8842264,-1.993510297,"https://www.google.com/maps?q=-1.99351029708105,110.884226355593"
1020,Indonesia,24330,3162900,110.4491611,-2.01091564,"https://www.google.com/maps?q=-2.0109156404084,110.449161091561"
1021,Indonesia,17622,2290860,110.7655978,-2.045912109,"https://www.google.com/maps?q=-2.04591210898008,110.765597841594"
1022,Indonesia,16453,2138890,110.9937168,-2.118828887,"https://www.google.com/maps?q=-2.11882888738539,110.993716786777"
1023,Indonesia,14229,1849770,110.6270651,-2.102793062,"https://www.google.com/maps?q=-2.1027930615627,110.627065097075"
1024,Indonesia,25915,3368950,110.8861162,-2.164168435,"https://www.google.com/maps?q=-2.1641684351587,110.886116175615"
1025,Indonesia,22754,2958020,110.7596691,-2.193501911,"https://www.google.com/maps?q=-2.19350191103532,110.759669134004"
1026,Indonesia,8481,1102530,110.6413553,-2.220163495,"https://www.google.com/maps?q=-2.22016349461147,110.641355250633"
1027,Indonesia,8805,1144650,111.0934582,-2.445706999,"https://www.google.com/maps?q=-2.44570699885821,111.093458229245"
1028,Indonesia,3996,519480,110.2299887,-2.430722599,"https://www.google.com/maps?q=-2.43072259911934,110.229988682093"
1029,Indonesia,25965,3375450,110.6277877,-2.473031105,"https://www.google.com/maps?q=-2.47303110469575,110.627787715054"
1030,Indonesia,34711,4512430,110.9749717,-2.578553468,"https://www.google.com/maps?q=-2.57855346814265,110.97497174475"
1031,Indonesia,1342,174460,110.9749799,-2.531802207,"https://www.google.com/maps?q=-2.53180220734596,110.974979868962"
1032,Indonesia,7597,987610,111.1053131,-2.629905143,"https://www.google.com/maps?q=-2.62990514268949,111.10531308634"
1033,Indonesia,63,8190,111.0648984,-2.629144,"https://www.google.com/maps?q=-2.62914399950082,111.064898433763"
1034,Indonesia,12715,1652950,111.0056828,-2.765153843,"https://www.google.com/maps?q=-2.76515384272944,111.005682827688"
1035,Indonesia,512,66560,109.2935177,1.746084212,"https://www.google.com/maps?q=1.74608421240683,109.293517717285"
1036,Indonesia,113,14690,109.2814947,1.720681225,"https://www.google.com/maps?q=1.72068122516183,109.281494653947"
1037,Indonesia,7907,1027910,112.8605138,0.7634804958,"https://www.google.com/maps?q=0.76348049576108,112.86051381586"
1038,Indonesia,18990,2468700,112.0153316,0.2242149796,"https://www.google.com/maps?q=0.224214979577324,112.015331581222"
1039,Indonesia,10445,1357850,112.7276876,0.4651319083,"https://www.google.com/maps?q=0.465131908311289,112.727687589928"
1040,Indonesia,14383,1869790,112.0652682,0.9960618313,"https://www.google.com/maps?q=0.996061831300992,112.065268168697"
1041,Indonesia,24648,3204240,113.0204547,0.8291043659,"https://www.google.com/maps?q=0.829104365853657,113.020454651019"
1042,Indonesia,4109,534170,110.7724269,-2.421226468,"https://www.google.com/maps?q=-2.421226468063,110.772426903721"
1043,Indonesia,3973,516490,110.3601524,-2.269370827,"https://www.google.com/maps?q=-2.26937082687733,110.36015239071"
1044,Indonesia,25762,3349060,110.4469212,-2.125650295,"https://www.google.com/maps?q=-2.12565029544661,110.446921186619"
1045,Indonesia,7389,960570,110.8316199,-2.419325557,"https://www.google.com/maps?q=-2.4193255574424,110.831619872988"
1046,Indonesia,16718,2173340,110.5345595,-1.826583436,"https://www.google.com/maps?q=-1.82658343620133,110.534559454982"
1047,Indonesia,13010,1691300,110.096877,-1.596055175,"https://www.google.com/maps?q=-1.59605517467873,110.096876983888"
1048,Indonesia,28065,3648450,110.1865097,-1.414360881,"https://www.google.com/maps?q=-1.41436088104391,110.186509705143"
1049,Indonesia,16280,2116400,110.6159625,-1.550239123,"https://www.google.com/maps?q=-1.55023912255759,110.615962492108"
1050,Indonesia,19039,2475070,110.5549405,-1.405458005,"https://www.google.com/maps?q=-1.40545800461857,110.554940499089"
1051,Indonesia,10708,1392040,110.6223341,-1.205555177,"https://www.google.com/maps?q=-1.20555517719897,110.622334118571"
1052,Indonesia,2083,270790,110.647611,-1.143791224,"https://www.google.com/maps?q=-1.14379122443515,110.64761100209"
1053,Indonesia,5262,684060,110.3173925,-0.8485313303,"https://www.google.com/maps?q=-0.848531330326263,110.317392456758"
1054,Indonesia,9495,1234350,110.2714175,-0.9843664914,"https://www.google.com/maps?q=-0.984366491394757,110.271417541059"
1055,Indonesia,24068,3128840,110.0788683,-1.002917779,"https://www.google.com/maps?q=-1.00291777933503,110.078868285765"
1056,Indonesia,9018,1172340,110.3477619,-0.7809805566,"https://www.google.com/maps?q=-0.780980556640167,110.347761876328"
1057,Indonesia,23730,3084900,110.647107,-1.039160433,"https://www.google.com/maps?q=-1.03916043260665,110.647106986818"
1058,Indonesia,26309,3420170,110.5141133,-1.087910531,"https://www.google.com/maps?q=-1.08791053098947,110.514113305097"
1059,Indonesia,14382,1869660,109.3540127,-0.3827651295,"https://www.google.com/maps?q=-0.382765129464565,109.354012709216"
1060,Indonesia,10387,1350310,109.2148338,-0.2989563317,"https://www.google.com/maps?q=-0.298956331678593,109.214833765455"
1061,Indonesia,1673,217490,109.6477811,-0.09620995532,"https://www.google.com/maps?q=-0.0962099553177267,109.647781126295"
1062,Indonesia,1388,180440,109.6852581,-0.2388097417,"https://www.google.com/maps?q=-0.238809741679337,109.685258087303"
1063,Indonesia,1102,143260,109.6839365,-0.150071529,"https://www.google.com/maps?q=-0.150071529012598,109.683936527586"
1064,Indonesia,17680,2298400,109.6549865,-0.3277713508,"https://www.google.com/maps?q=-0.327771350793671,109.65498654798"
1065,Indonesia,1643,213590,109.6376772,0.009043244613,"https://www.google.com/maps?q=0.0090432446127791,109.637677162347"
1066,Indonesia,11972,1556360,110.0851143,-0.2825039738,"https://www.google.com/maps?q=-0.282503973810401,110.08511428915"
1067,Indonesia,22317,2901210,110.031214,-0.177808309,"https://www.google.com/maps?q=-0.177808308963583,110.03121404701"
1068,Indonesia,3459,449670,110.1888651,-0.3355153222,"https://www.google.com/maps?q=-0.335515322220884,110.188865139541"
1069,Indonesia,10707,1391910,110.3084018,-0.2508871486,"https://www.google.com/maps?q=-0.250887148559011,110.308401826392"
1070,Indonesia,11500,1495000,110.3413549,-0.3690175953,"https://www.google.com/maps?q=-0.369017595318834,110.34135489639"
1071,Indonesia,19009,2471170,110.2530156,-0.4982305814,"https://www.google.com/maps?q=-0.498230581446286,110.253015625305"
1072,Indonesia,3292,427960,109.5473689,0.06787031432,"https://www.google.com/maps?q=0.0678703143153317,109.547368929515"
1073,Indonesia,751,97630,109.5806796,0.09417863357,"https://www.google.com/maps?q=0.0941786335670055,109.580679571037"
1074,Indonesia,3836,498680,109.5245478,0.273475424,"https://www.google.com/maps?q=0.273475424038351,109.524547752719"
1075,Indonesia,2842,369460,109.625737,0.0888202924,"https://www.google.com/maps?q=0.0888202923990061,109.625736987286"
1076,Indonesia,2765,359450,109.6500027,0.1968999767,"https://www.google.com/maps?q=0.196899976715094,109.650002723953"
1077,Indonesia,2950,383500,109.7851135,0.5054339655,"https://www.google.com/maps?q=0.505433965493148,109.785113497716"
1078,Indonesia,48,6240,109.835492,0.4738570578,"https://www.google.com/maps?q=0.473857057800946,109.835491992196"
1079,Indonesia,16610,2159300,109.8918114,0.3610455878,"https://www.google.com/maps?q=0.361045587789287,109.89181143446"
1080,Indonesia,5174,672620,109.2619885,0.6792491188,"https://www.google.com/maps?q=0.679249118759409,109.261988506348"
1081,Indonesia,19682,2558660,109.3981177,0.5925649941,"https://www.google.com/maps?q=0.5925649941255,109.398117717692"
1082,Indonesia,15065,1958450,109.463977,0.4303857478,"https://www.google.com/maps?q=0.430385747832057,109.463977008246"
1083,Indonesia,754,98020,109.3581489,0.4636135824,"https://www.google.com/maps?q=0.463613582376707,109.358148946422"
1084,Indonesia,17832,2318160,109.4648147,0.3335540341,"https://www.google.com/maps?q=0.333554034127056,109.464814712083"
1085,Indonesia,3206,416780,110.0087142,0.7782674212,"https://www.google.com/maps?q=0.778267421159446,110.00871417018"
1086,Indonesia,12594,1637220,109.8529863,0.8010636615,"https://www.google.com/maps?q=0.801063661544107,109.852986271883"
1087,Indonesia,17963,2335190,110.1516493,0.6420749649,"https://www.google.com/maps?q=0.642074964942082,110.151649310773"
1088,Indonesia,4460,579800,110.2651523,0.3999894224,"https://www.google.com/maps?q=0.399989422371433,110.265152328495"
1089,Indonesia,17810,2315300,110.3805449,0.4637556071,"https://www.google.com/maps?q=0.463755607056878,110.380544880858"
1090,Indonesia,3215,417950,110.4888813,0.491950172,"https://www.google.com/maps?q=0.4919501719575,110.488881314142"
1091,Indonesia,3144,408720,110.5019651,0.3640954864,"https://www.google.com/maps?q=0.36409548637168,110.501965059004"
1092,Indonesia,4658,605540,110.54679,0.2075008674,"https://www.google.com/maps?q=0.207500867443742,110.546789993767"
1093,Indonesia,18836,2448680,110.3569071,-0.02709918075,"https://www.google.com/maps?q=-0.0270991807495487,110.356907141986"
1094,Indonesia,10313,1340690,110.264454,0.02600551174,"https://www.google.com/maps?q=0.0260055117351392,110.264454007237"
1095,Indonesia,1758,228540,110.3355931,0.6745061086,"https://www.google.com/maps?q=0.67450610862892,110.335593083708"
1096,Indonesia,13641,1773330,111.2152554,0.7782473554,"https://www.google.com/maps?q=0.778247355421762,111.215255421014"
1097,Indonesia,3683,478790,110.3081245,0.9100839161,"https://www.google.com/maps?q=0.91008391607607,110.308124519368"
1098,Indonesia,1275,165750,111.1261747,-0.3519643358,"https://www.google.com/maps?q=-0.351964335812459,111.126174709144"
1099,Indonesia,2817,366210,111.2549462,-0.220510653,"https://www.google.com/maps?q=-0.220510652997382,111.254946174364"
1100,Indonesia,18807,2444910,111.5592097,-0.3155302489,"https://www.google.com/maps?q=-0.315530248896809,111.55920969247"
1101,Indonesia,1423,184990,111.3129549,-0.03176903808,"https://www.google.com/maps?q=-0.0317690380771783,111.31295487162"
1102,Indonesia,23786,3092180,111.2298583,-0.09013957095,"https://www.google.com/maps?q=-0.0901395709496038,111.229858266982"
1103,Indonesia,5406,702780,111.0600208,0.4163513743,"https://www.google.com/maps?q=0.41635137434357,111.060020825603"
1104,Indonesia,24744,3216720,111.1719035,0.236969607,"https://www.google.com/maps?q=0.236969606996445,111.171903485606"
1105,Indonesia,89176,11592880,111.4432862,0.3851539495,"https://www.google.com/maps?q=0.385153949474694,111.44328623583"
1106,Indonesia,12522,1627860,111.7525263,0.14007258,"https://www.google.com/maps?q=0.14007257999667,111.75252633733"
1107,Indonesia,4938,641940,111.8674231,-0.1286928091,"https://www.google.com/maps?q=-0.128692809093945,111.867423132111"
1108,Indonesia,17981,2337530,111.9128004,0.06509980412,"https://www.google.com/maps?q=0.0650998041218072,111.912800410632"
1109,Indonesia,2680,348400,111.5668576,0.553359418,"https://www.google.com/maps?q=0.553359417971454,111.566857617387"
1110,Indonesia,18480,2402400,111.6676911,0.9819484479,"https://www.google.com/maps?q=0.981948447897794,111.667691090837"
1111,Indonesia,10142,1318460,112.1809778,1.047515231,"https://www.google.com/maps?q=1.04751523062931,112.180977770754"
1112,Indonesia,9440,1227200,112.4537071,1.067322324,"https://www.google.com/maps?q=1.06732232407282,112.453707089124"
1113,Indonesia,1828,237640,112.4223434,0.5141415021,"https://www.google.com/maps?q=0.514141502124761,112.422343423913"
1114,Indonesia,18128,2356640,112.7197306,0.549725605,"https://www.google.com/maps?q=0.54972560495575,112.719730593235"
1115,Indonesia,15504,2015520,112.6060077,0.7116601253,"https://www.google.com/maps?q=0.711660125305321,112.60600769601"
